Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
31;Minas Gerais;MG;3120839;CUPARAQUE;-18,9653;-41,099;SE;Sudeste;MG_CUPARAQUE;CUPARAQUE
31;Minas Gerais;MG;3120870;CURRAL DE DENTRO;-15,9332;-41,856;SE;Sudeste;MG_CURRAL DE DENTRO;CURRAL DE DENTRO
31;Minas Gerais;MG;3120904;CURVELO;-18,7532;-44,4306;SE;Sudeste;MG_CURVELO;CURVELO
31;Minas Gerais;MG;3121001;DATAS;-18,4482;-43,6595;SE;Sudeste;MG_DATAS;DATAS
31;Minas Gerais;MG;3121100;DELFIM MOREIRA;-22,5041;-45,2796;SE;Sudeste;MG_DELFIM MOREIRA;DELFIM MOREIRA
31;Minas Gerais;MG;3121209;DELFINÓPOLIS;-20,3472;-46,8459;SE;Sudeste;MG_DELFINOPOLIS;DELFINOPOLIS
31;Minas Gerais;MG;3121258;DELTA;-19,9741;-47,7746;SE;Sudeste;MG_DELTA;DELTA
31;Minas Gerais;MG;3121308;DESCOBERTO;-21,4605;-42,9621;SE;Sudeste;MG_DESCOBERTO;DESCOBERTO
31;Minas Gerais;MG;3121407;DESTERRO DE ENTRE RIOS;-20,6655;-44,3338;SE;Sudeste;MG_DESTERRO DE ENTRE RIOS;DESTERRO DE ENTRE RIOS
31;Minas Gerais;MG;3121506;DESTERRO DO MELO;-21,1435;-43,5182;SE;Sudeste;MG_DESTERRO DO MELO;DESTERRO DO MELO
31;Minas Gerais;MG;3121605;DIAMANTINA;-18,2418;-43,6035;SE;Sudeste;MG_DIAMANTINA;DIAMANTINA
31;Minas Gerais;MG;3121704;DIOGO DE VASCONCELOS;-20,4884;-43,1956;SE;Sudeste;MG_DIOGO DE VASCONCELOS;DIOGO DE VASCONCELOS
31;Minas Gerais;MG;3121803;DIONÍSIO;-19,843;-42,777;SE;Sudeste;MG_DIONISIO;DIONISIO
31;Minas Gerais;MG;3121902;DIVINÉSIA;-20,9922;-43,0006;SE;Sudeste;MG_DIVINESIA;DIVINESIA
31;Minas Gerais;MG;3122009;DIVINO;-20,6139;-42,1442;SE;Sudeste;MG_DIVINO;DIVINO
